mRNA,microRNA,T_CC,T_P,T_FDR,N_CC,N_P,N_FDR,Targetprofiler,Targetscan,MiRanda
LRCH2,hsa-mir-382,0.553996636,1.68E-05,0.000942168,-0.879571631,0.000358165,0.038559159,targetprofiler-NO,targetscan-Yes,miRanda-NO
SYNJ2BP,hsa-mir-382,0.554949117,1.61E-05,0.000910506,-0.831291251,0.001517727,0.063757922,targetprofiler-NO,targetscan-Yes,miRanda-NO
FAM161B,hsa-mir-382,0.555650584,1.57E-05,0.000887549,-0.785528183,0.004164934,0.089025482,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCAF5,hsa-mir-382,0.555749034,1.56E-05,0.000884424,-0.859777259,0.000689524,0.048662208,targetprofiler-NO,targetscan-Yes,miRanda-NO
BRPF3,hsa-mir-382,0.55654592,1.51E-05,0.000859119,-0.823366757,0.001843467,0.067968303,targetprofiler-Yes,targetscan-Yes,miRanda-NO
WDR17,hsa-mir-130a,0.556731934,1.50E-05,0.000853382,-0.805633959,0.002759053,0.077668355,targetprofiler-NO,targetscan-Yes,miRanda-NO
ADAL,hsa-mir-1180,0.557182944,1.47E-05,0.000839619,-0.775254267,0.005059413,0.095016121,targetprofiler-NO,targetscan-Yes,miRanda-NO
DDHD2,hsa-mir-345,0.558223884,1.40E-05,0.000808321,-0.783668438,0.004317427,0.090116976,targetprofiler-NO,targetscan-Yes,miRanda-NO
C17orf108,hsa-mir-495,0.558282725,1.40E-05,0.0008066,-0.769506439,0.005617597,0.098408965,targetprofiler-Yes,targetscan-NO,miRanda-NO
TPCN2,hsa-mir-766,0.559602913,1.32E-05,0.000768865,-0.806023373,0.002735908,0.077465231,targetprofiler-NO,targetscan-Yes,miRanda-NO
FYTTD1,hsa-mir-382,0.560528764,1.27E-05,0.000743164,-0.811189112,0.002442352,0.074633964,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPIRE1,hsa-mir-155,0.560695377,1.26E-05,0.000738616,-0.807890315,0.002626947,0.076471423,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZFPM2,hsa-mir-106b,0.56080068,1.26E-05,0.000735818,-0.816239273,0.002178698,0.071775853,targetprofiler-Yes,targetscan-NO,miRanda-Yes
FYTTD1,hsa-mir-136,0.560917444,1.25E-05,0.000732665,-0.840332723,0.001200973,0.058926438,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTMR9,hsa-mir-10b,0.56111129,1.24E-05,0.000727531,-0.808303609,0.002603268,0.076252056,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNNM1,hsa-mir-484,0.562072821,1.19E-05,0.000702076,-0.861656074,0.000650757,0.047708864,targetprofiler-Yes,targetscan-NO,miRanda-NO
PARP1,hsa-mir-382,0.562098754,1.19E-05,0.000701435,-0.787985984,0.003969556,0.087583677,targetprofiler-NO,targetscan-NO,miRanda-Yes
PCDH9,hsa-mir-136,0.562356,1.17E-05,0.000694816,-0.803816187,0.002869023,0.078707413,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCAF5,hsa-mir-665,0.56309572,1.14E-05,0.000676042,-0.790851707,0.003750407,0.085927223,targetprofiler-NO,targetscan-Yes,miRanda-NO
STXBP1,hsa-mir-93,0.564052253,1.09E-05,0.000652524,-0.780594582,0.004578462,0.091905001,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCAF5,hsa-mir-495,0.564731238,1.06E-05,0.00063599,-0.850701539,0.000901885,0.053503853,targetprofiler-NO,targetscan-Yes,miRanda-NO
PARK2,hsa-mir-382,0.564820368,1.05E-05,0.000633821,-0.909498179,0.000103546,0.023851139,targetprofiler-NO,targetscan-NO,miRanda-Yes
ZNF542,hsa-mir-136,0.565181644,1.04E-05,0.000625289,-0.786203426,0.004110564,0.088630464,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZNF470,hsa-mir-382,0.565359078,1.03E-05,0.00062109,-0.776656225,0.004929711,0.094198388,targetprofiler-Yes,targetscan-Yes,miRanda-NO
DCAF5,hsa-mir-136,0.566475108,9.80E-06,0.000595614,-0.86661278,0.000556364,0.045103692,targetprofiler-Yes,targetscan-Yes,miRanda-NO
TMEFF1,hsa-mir-10b,0.568154183,9.10E-06,0.000559181,-0.818480682,0.002068749,0.070595697,targetprofiler-NO,targetscan-NO,miRanda-Yes
DCAF5,hsa-mir-410,0.56832411,9.03E-06,0.000555679,-0.7780572,0.004802565,0.093379042,targetprofiler-NO,targetscan-Yes,miRanda-NO
CASP8AP2,hsa-mir-495,0.56885464,8.82E-06,0.00054451,-0.781994346,0.004458189,0.091089446,targetprofiler-NO,targetscan-Yes,miRanda-NO
DCAF5,hsa-mir-376b,0.570168849,8.32E-06,0.000518064,-0.806448373,0.002710814,0.077241223,targetprofiler-Yes,targetscan-NO,miRanda-NO
NAV1,hsa-mir-221,0.570613008,8.16E-06,0.000509413,-0.842726225,0.001126151,0.057615079,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SYNJ2BP,hsa-mir-136,0.572198083,7.60E-06,0.000479452,-0.770703184,0.005497819,0.097675601,targetprofiler-NO,targetscan-Yes,miRanda-NO
C12orf51,hsa-mir-381,0.573200969,7.26E-06,0.000461293,-0.795781242,0.003394561,0.083109081,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZNF519,hsa-mir-382,0.573895481,7.04E-06,0.000449072,-0.877951746,0.000379437,0.039351811,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF614,hsa-mir-29c,0.57423829,6.93E-06,0.000443105,-0.780408476,0.004594631,0.092015272,targetprofiler-NO,targetscan-NO,miRanda-Yes
FNDC5,hsa-mir-484,0.576341239,6.30E-06,0.000408473,-0.784766348,0.004226912,0.089475959,targetprofiler-Yes,targetscan-NO,miRanda-NO
DCAF10,hsa-mir-31,0.576471507,6.26E-06,0.000406418,-0.815233864,0.002229408,0.072346832,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF519,hsa-mir-136,0.576798309,6.17E-06,0.00040132,-0.889688128,0.000245006,0.033531926,targetprofiler-NO,targetscan-Yes,miRanda-NO
NEDD4,hsa-mir-3653,0.57803358,5.83E-06,0.000382314,-0.839886581,0.001215323,0.059166876,targetprofiler-NO,targetscan-Yes,miRanda-NO
LPL,hsa-mir-432,0.578103724,5.81E-06,0.000381279,-0.804938772,0.002800733,0.078060647,targetprofiler-NO,targetscan-Yes,miRanda-NO
LPL,hsa-mir-410,0.578326863,5.75E-06,0.000377903,-0.793388674,0.003563991,0.084486737,targetprofiler-NO,targetscan-Yes,miRanda-NO
HBS1L,hsa-mir-93,0.581052069,5.07E-06,0.000339565,-0.786012723,0.004125866,0.088749987,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF519,hsa-mir-495,0.581731148,4.91E-06,0.000330477,-0.795021854,0.003447676,0.083549175,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNNM1,hsa-mir-299,0.581868794,4.88E-06,0.000328679,-0.852495313,0.000856463,0.052523717,targetprofiler-NO,targetscan-Yes,miRanda-NO
LPL,hsa-mir-136,0.582034063,4.85E-06,0.000326535,-0.819447646,0.002022617,0.070056036,targetprofiler-NO,targetscan-Yes,miRanda-NO
LPL,hsa-mir-487a,0.58234749,4.78E-06,0.000322482,-0.77186542,0.005383303,0.097016746,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF292,hsa-mir-495,0.583278601,4.57E-06,0.00031073,-0.795305135,0.00342779,0.083375012,targetprofiler-NO,targetscan-Yes,miRanda-NO
CAPN7,hsa-mir-345,0.583755192,4.47E-06,0.000304865,-0.769358538,0.005632532,0.098496542,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF519,hsa-mir-410,0.584137953,4.39E-06,0.000300213,-0.800995284,0.003046087,0.080239591,targetprofiler-NO,targetscan-Yes,miRanda-NO
TRPC3,hsa-mir-130a,0.585141941,4.19E-06,0.000288299,-0.795693715,0.003400652,0.083157523,targetprofiler-Yes,targetscan-NO,miRanda-NO
DCAF5,hsa-mir-345,0.585248818,4.17E-06,0.000287098,-0.773646184,0.005211261,0.095978091,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SETBP1,hsa-mir-136,0.585391966,4.14E-06,0.000285413,-0.84687168,0.001004913,0.055485274,targetprofiler-NO,targetscan-Yes,miRanda-NO
OSTM1,hsa-mir-155,0.587291455,3.79E-06,0.000264412,-0.777112738,0.004888011,0.093931729,targetprofiler-NO,targetscan-Yes,miRanda-NO
LOC100128239,hsa-mir-1180,0.588374563,3.60E-06,0.000252911,-0.76884191,0.005684931,0.098819039,targetprofiler-Yes,targetscan-NO,miRanda-NO
SAMD14,hsa-mir-25,0.588854411,3.52E-06,0.000247962,-0.772346106,0.005336457,0.096723815,targetprofiler-NO,targetscan-NO,miRanda-Yes
C14orf45,hsa-mir-382,0.591397397,3.12E-06,0.000223399,-0.896373056,0.000186781,0.030226847,targetprofiler-NO,targetscan-NO,miRanda-Yes
RIC8B,hsa-mir-381,0.591489719,3.10E-06,0.000222534,-0.770960097,0.005472352,0.0975319,targetprofiler-Yes,targetscan-NO,miRanda-NO
SETBP1,hsa-mir-382,0.592995512,2.89E-06,0.000209145,-0.883290101,0.000312757,0.036721591,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAV1,hsa-mir-222,0.594527317,2.68E-06,0.000196344,-0.818616692,0.002062213,0.070521172,targetprofiler-Yes,targetscan-NO,miRanda-NO
SETBP1,hsa-mir-299,0.59689282,2.39E-06,0.00017787,-0.862126051,0.000641323,0.047471044,targetprofiler-NO,targetscan-Yes,miRanda-NO
SSBP2,hsa-mir-199b,0.597162608,2.36E-06,0.000175891,-0.784706318,0.004231825,0.089510134,targetprofiler-NO,targetscan-Yes,miRanda-NO
MTMR9,hsa-mir-1180,0.598668232,2.19E-06,0.000165047,-0.872387314,0.000459877,0.04222584,targetprofiler-NO,targetscan-Yes,miRanda-NO
PHF10,hsa-mir-106b,0.599499187,2.10E-06,0.000159353,-0.781482546,0.004501891,0.091377759,targetprofiler-Yes,targetscan-NO,miRanda-NO
PPP1R3E,hsa-mir-665,0.600268114,2.02E-06,0.000154229,-0.813304213,0.002329194,0.073447734,targetprofiler-Yes,targetscan-NO,miRanda-NO
PPM1A,hsa-mir-299,0.601705429,1.88E-06,0.000145124,-0.800512056,0.003077214,0.080487041,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAP3K15,hsa-mir-93,0.602483278,1.81E-06,0.000140438,-0.780201333,0.004612678,0.09215039,targetprofiler-NO,targetscan-Yes,miRanda-NO
PHIP,hsa-mir-495,0.602583767,1.80E-06,0.000139837,-0.801821957,0.00299338,0.07981809,targetprofiler-NO,targetscan-Yes,miRanda-NO
PHIP,hsa-mir-382,0.602896661,1.78E-06,0.000137975,-0.864227639,0.000600392,0.046392361,targetprofiler-NO,targetscan-Yes,miRanda-NO
SOCS7,hsa-mir-382,0.603961428,1.68E-06,0.000131827,-0.848073894,0.000971666,0.054837756,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPM1A,hsa-mir-382,0.604205634,1.66E-06,0.000130445,-0.897829846,0.000175633,0.029523887,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPM1A,hsa-mir-495,0.604269973,1.66E-06,0.000130094,-0.786845114,0.004059384,0.08824381,targetprofiler-NO,targetscan-Yes,miRanda-NO
TTLL7,hsa-mir-382,0.606454786,1.49E-06,0.000118242,-0.846827508,0.001006151,0.055506768,targetprofiler-Yes,targetscan-NO,miRanda-Yes
TRPC3,hsa-mir-140,0.609381144,1.28E-06,0.000103905,-0.77995605,0.004634115,0.092304937,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPM1A,hsa-mir-410,0.609545499,1.27E-06,0.000103144,-0.781396131,0.0045093,0.091425361,targetprofiler-NO,targetscan-Yes,miRanda-Yes
PPM1A,hsa-mir-136,0.609754821,1.26E-06,0.000102199,-0.876846399,0.000394494,0.039936325,targetprofiler-NO,targetscan-Yes,miRanda-NO
C14orf45,hsa-mir-495,0.611729415,1.14E-06,9.36E-05,-0.773756632,0.005200726,0.095907756,targetprofiler-Yes,targetscan-NO,miRanda-NO
SOCS7,hsa-mir-136,0.612368553,1.10E-06,9.10E-05,-0.810507083,0.002479699,0.075025578,targetprofiler-NO,targetscan-Yes,miRanda-NO
SETBP1,hsa-mir-381,0.612767333,1.08E-06,8.94E-05,-0.850939409,0.000895759,0.053379604,targetprofiler-NO,targetscan-NO,miRanda-Yes
ESYT2,hsa-mir-345,0.612880529,1.07E-06,8.89E-05,-0.800025436,0.003108797,0.080752998,targetprofiler-NO,targetscan-Yes,miRanda-NO
COX11,hsa-mir-382,0.613030199,1.06E-06,8.83E-05,-0.796410147,0.003351034,0.082762237,targetprofiler-Yes,targetscan-Yes,miRanda-NO
RIC8B,hsa-mir-382,0.613192749,1.05E-06,8.77E-05,-0.879764908,0.000355688,0.038472608,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGAP33,hsa-mir-299,0.613220996,1.05E-06,8.76E-05,-0.777162178,0.00488351,0.09389986,targetprofiler-NO,targetscan-Yes,miRanda-NO
MAPK8IP1,hsa-mir-484,0.613351509,1.05E-06,8.71E-05,-0.869803097,0.000501342,0.04349376,targetprofiler-NO,targetscan-NO,miRanda-Yes
ZNF354C,hsa-mir-410,0.615501972,9.35E-07,7.90E-05,-0.80892248,0.00256811,0.075895574,targetprofiler-NO,targetscan-Yes,miRanda-NO
GNA11,hsa-mir-136,0.6185407,7.98E-07,6.87E-05,-0.793204963,0.003577255,0.084581834,targetprofiler-NO,targetscan-Yes,miRanda-NO
ATG2B,hsa-mir-136,0.618713528,7.91E-07,6.82E-05,-0.881380861,0.000335488,0.03763692,targetprofiler-NO,targetscan-Yes,miRanda-NO
XK,hsa-mir-1254,0.618997143,7.79E-07,6.73E-05,-0.797695857,0.003263339,0.082051676,targetprofiler-Yes,targetscan-Yes,miRanda-NO
SPATA21,hsa-mir-382,0.619837923,7.45E-07,6.47E-05,-0.783690824,0.004315567,0.090101933,targetprofiler-NO,targetscan-NO,miRanda-Yes
AHI1,hsa-mir-381,0.620817334,7.07E-07,6.19E-05,-0.837598668,0.001290942,0.060387504,targetprofiler-NO,targetscan-NO,miRanda-Yes
MTMR7,hsa-mir-191,0.621717433,6.74E-07,5.94E-05,-0.778498619,0.004763009,0.093123024,targetprofiler-NO,targetscan-Yes,miRanda-NO
ATG2B,hsa-mir-410,0.621882238,6.69E-07,5.89E-05,-0.778229052,0.004787137,0.09328682,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAA30,hsa-mir-495,0.623248462,6.22E-07,5.52E-05,-0.776647745,0.004930488,0.09420329,targetprofiler-NO,targetscan-Yes,miRanda-NO
AFF3,hsa-mir-10b,0.623582117,6.11E-07,5.44E-05,-0.769876138,0.005580392,0.098185677,targetprofiler-NO,targetscan-Yes,miRanda-NO
GPAM,hsa-mir-186,0.626975659,5.09E-07,4.63E-05,-0.796516398,0.003343722,0.082709257,targetprofiler-Yes,targetscan-Yes,miRanda-NO
GPAM,hsa-mir-505,0.627005373,5.08E-07,4.63E-05,-0.781398401,0.004509106,0.091424437,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF354C,hsa-mir-382,0.627545214,4.93E-07,4.51E-05,-0.894198153,0.000204418,0.031288661,targetprofiler-NO,targetscan-Yes,miRanda-Yes
CCDC25,hsa-mir-382,0.628425417,4.70E-07,4.33E-05,-0.895282007,0.000195477,0.030731096,targetprofiler-NO,targetscan-Yes,miRanda-NO
CCDC25,hsa-mir-495,0.628815018,4.60E-07,4.25E-05,-0.785469295,0.004169701,0.089050915,targetprofiler-Yes,targetscan-NO,miRanda-NO
NAA30,hsa-mir-345,0.630494221,4.20E-07,3.92E-05,-0.769540333,0.005614179,0.098385406,targetprofiler-NO,targetscan-Yes,miRanda-NO
PPM1A,hsa-mir-345,0.630685234,4.16E-07,3.88E-05,-0.770031571,0.005564805,0.098087827,targetprofiler-NO,targetscan-Yes,miRanda-NO
RBBP6,hsa-mir-92b,0.630864116,4.11E-07,3.85E-05,-0.781514182,0.00449918,0.091361517,targetprofiler-NO,targetscan-NO,miRanda-Yes
AHI1,hsa-mir-495,0.633246215,3.61E-07,3.43E-05,-0.770386073,0.005529373,0.097870894,targetprofiler-NO,targetscan-Yes,miRanda-NO
CCDC25,hsa-mir-136,0.634358751,3.39E-07,3.25E-05,-0.839701315,0.001221319,0.059261686,targetprofiler-Yes,targetscan-NO,miRanda-NO
AFF3,hsa-mir-1180,0.637347196,2.87E-07,2.80E-05,-0.781087146,0.004535869,0.091616626,targetprofiler-NO,targetscan-Yes,miRanda-NO
SYT11,hsa-mir-382,0.63808719,2.75E-07,2.70E-05,-0.779542575,0.004670417,0.092523204,targetprofiler-NO,targetscan-Yes,miRanda-NO
ADAM11,hsa-mir-181c,0.639622398,2.52E-07,2.50E-05,-0.781473389,0.004502675,0.091379105,targetprofiler-Yes,targetscan-NO,miRanda-NO
AFF3,hsa-mir-25,0.641017232,2.33E-07,2.33E-05,-0.817383856,0.002122022,0.071180196,targetprofiler-NO,targetscan-Yes,miRanda-NO
USP13,hsa-mir-382,0.641027679,2.33E-07,2.33E-05,-0.863006909,0.000623919,0.047027033,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF407,hsa-mir-136,0.641106657,2.32E-07,2.32E-05,-0.842187321,0.001142683,0.057908979,targetprofiler-NO,targetscan-Yes,miRanda-Yes
TMEM170B,hsa-mir-25,0.641367689,2.29E-07,2.29E-05,-0.798238901,0.003226816,0.081748782,targetprofiler-NO,targetscan-Yes,miRanda-NO
BACE1,hsa-mir-199b,0.641418469,2.28E-07,2.29E-05,-0.776066691,0.004983949,0.094555526,targetprofiler-NO,targetscan-Yes,miRanda-NO
TNKS,hsa-mir-136,0.642584666,2.13E-07,2.15E-05,-0.831785748,0.001498943,0.063486925,targetprofiler-NO,targetscan-Yes,miRanda-NO
KLC1,hsa-mir-382,0.644133511,1.95E-07,1.99E-05,-0.824753639,0.001783005,0.067222649,targetprofiler-NO,targetscan-NO,miRanda-Yes
PHIP,hsa-mir-345,0.647817253,1.58E-07,1.65E-05,-0.770705086,0.00549763,0.097674535,targetprofiler-NO,targetscan-Yes,miRanda-NO
GAL3ST1,hsa-let-7c,0.648766298,1.49E-07,1.57E-05,-0.82760395,0.001663411,0.065745855,targetprofiler-NO,targetscan-NO,miRanda-Yes
WDR17,hsa-mir-382,0.653257447,1.14E-07,1.24E-05,-0.88305815,0.000315454,0.036829751,targetprofiler-NO,targetscan-Yes,miRanda-NO
C10orf4,hsa-mir-136,0.654388531,1.07E-07,1.16E-05,-0.841186664,0.001173863,0.058453345,targetprofiler-NO,targetscan-NO,miRanda-Yes
TTC37,hsa-mir-410,0.65653674,9.40E-08,1.04E-05,-0.803241487,0.002904459,0.079019946,targetprofiler-NO,targetscan-Yes,miRanda-NO
WDR17,hsa-mir-136,0.658158997,8.52E-08,9.51E-06,-0.850318798,0.000911806,0.053693577,targetprofiler-NO,targetscan-Yes,miRanda-NO
LDOC1L,hsa-mir-299,0.659097325,8.05E-08,9.03E-06,-0.776579685,0.004936728,0.094240892,targetprofiler-NO,targetscan-Yes,miRanda-NO
TTC37,hsa-mir-495,0.659623312,7.80E-08,8.78E-06,-0.813231414,0.002333022,0.073479868,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZHX3,hsa-mir-299,0.659674688,7.77E-08,8.76E-06,-0.829595695,0.001583477,0.064676818,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZHX3,hsa-mir-136,0.660415288,7.43E-08,8.41E-06,-0.830232897,0.001558523,0.064320054,targetprofiler-NO,targetscan-NO,miRanda-Yes
ZHX3,hsa-mir-381,0.66063154,7.33E-08,8.31E-06,-0.809743773,0.002521999,0.075451769,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZHX3,hsa-mir-382,0.66286459,6.39E-08,7.35E-06,-0.894668169,0.000200503,0.031058685,targetprofiler-NO,targetscan-Yes,miRanda-NO
TAF1,hsa-mir-331,0.665507254,5.43E-08,6.35E-06,-0.812958212,0.002347432,0.073647708,targetprofiler-NO,targetscan-Yes,miRanda-NO
LDOC1L,hsa-mir-136,0.667930486,4.66E-08,5.54E-06,-0.802637168,0.002942071,0.079375003,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ANO5,hsa-mir-382,0.669826748,4.14E-08,4.98E-06,-0.93991769,1.71E-05,0.010735786,targetprofiler-NO,targetscan-Yes,miRanda-NO
ANKHD1,hsa-mir-382,0.672174898,3.56E-08,4.36E-06,-0.885232558,0.00029085,0.035717699,targetprofiler-NO,targetscan-NO,miRanda-Yes
API5,hsa-mir-136,0.673746636,3.22E-08,3.98E-06,-0.818227493,0.002080957,0.07073995,targetprofiler-NO,targetscan-Yes,miRanda-NO
UTP11L,hsa-mir-410,0.675509392,2.87E-08,3.59E-06,-0.780950238,0.004547678,0.091709863,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEFF1,hsa-mir-25,0.675936407,2.80E-08,3.50E-06,-0.822871927,0.001865406,0.068217848,targetprofiler-NO,targetscan-NO,miRanda-Yes
KIF1B,hsa-mir-381,0.676255948,2.74E-08,3.44E-06,-0.80699638,0.002678709,0.076936809,targetprofiler-Yes,targetscan-NO,miRanda-NO
DMXL1,hsa-mir-136,0.676471729,2.70E-08,3.39E-06,-0.899794771,0.000161408,0.028596568,targetprofiler-NO,targetscan-Yes,miRanda-NO
ANKHD1,hsa-mir-136,0.680876654,2.02E-08,2.61E-06,-0.831305015,0.001517202,0.063749037,targetprofiler-NO,targetscan-NO,miRanda-Yes
CAPS2,hsa-mir-376b,0.681027084,2.00E-08,2.59E-06,-0.827315918,0.001675215,0.065875213,targetprofiler-NO,targetscan-NO,miRanda-Yes
ANKHD1,hsa-mir-381,0.683339838,1.72E-08,2.25E-06,-0.802452377,0.002953644,0.079490628,targetprofiler-Yes,targetscan-NO,miRanda-Yes
ZCCHC14,hsa-mir-136,0.684707288,1.57E-08,2.07E-06,-0.801147138,0.003036354,0.080165558,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZCCHC14,hsa-mir-382,0.685126067,1.52E-08,2.02E-06,-0.805143778,0.002788393,0.077940403,targetprofiler-Yes,targetscan-Yes,miRanda-NO
ANO5,hsa-mir-487a,0.685503091,1.49E-08,1.98E-06,-0.814431888,0.002270484,0.072804159,targetprofiler-NO,targetscan-Yes,miRanda-NO
ANO5,hsa-mir-495,0.689764074,1.11E-08,1.52E-06,-0.804459242,0.002829755,0.078324848,targetprofiler-NO,targetscan-Yes,miRanda-NO
ANO5,hsa-mir-136,0.691020699,1.02E-08,1.40E-06,-0.867406185,0.000542274,0.044693657,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIF1B,hsa-mir-382,0.692326277,9.33E-09,1.29E-06,-0.877133903,0.000390535,0.039798064,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIF1B,hsa-mir-410,0.694726621,7.90E-09,1.11E-06,-0.776461196,0.004947606,0.094311878,targetprofiler-NO,targetscan-Yes,miRanda-NO
KIF1B,hsa-mir-136,0.695755337,7.35E-09,1.04E-06,-0.824932445,0.001775319,0.06712218,targetprofiler-NO,targetscan-Yes,miRanda-NO
TMEFF1,hsa-mir-199b,0.706715541,3.35E-09,5.05E-07,-0.810168554,0.002498393,0.075208626,targetprofiler-NO,targetscan-Yes,miRanda-NO
NAA25,hsa-mir-331,0.707235834,3.22E-09,4.88E-07,-0.795268631,0.003430348,0.083396326,targetprofiler-NO,targetscan-Yes,miRanda-NO
MLL,hsa-mir-136,0.712511975,2.18E-09,3.40E-07,-0.856946267,0.000751198,0.050216912,targetprofiler-Yes,targetscan-NO,miRanda-NO
ZNF519,hsa-mir-93,0.718115836,1.42E-09,2.29E-07,-0.770862387,0.005482027,0.097586373,targetprofiler-NO,targetscan-Yes,miRanda-NO
DNAJC6,hsa-mir-382,0.722473428,1.01E-09,1.68E-07,-0.923444156,4.98E-05,0.017394274,targetprofiler-Yes,targetscan-Yes,miRanda-NO
DNAJC6,hsa-mir-299,0.723791028,9.14E-10,1.53E-07,-0.787290755,0.004024119,0.087997214,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNTLN,hsa-mir-299,0.723814441,9.13E-10,1.52E-07,-0.87762168,0.000383887,0.039529,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNTLN,hsa-mir-495,0.725802177,7.80E-10,1.32E-07,-0.80299457,0.002919783,0.079159962,targetprofiler-NO,targetscan-Yes,miRanda-NO
VLDLR,hsa-mir-136,0.726354739,7.46E-10,1.26E-07,-0.831161428,0.001522688,0.063822172,targetprofiler-Yes,targetscan-Yes,miRanda-Yes
MTMR9,hsa-mir-181c,0.727026223,7.07E-10,1.20E-07,-0.784029421,0.00428751,0.089887131,targetprofiler-Yes,targetscan-NO,miRanda-NO
DDX24,hsa-mir-382,0.72738011,6.88E-10,1.17E-07,-0.833630717,0.001430391,0.062465104,targetprofiler-NO,targetscan-NO,miRanda-Yes
CNTLN,hsa-mir-377,0.728289359,6.39E-10,1.10E-07,-0.77309654,0.005263925,0.096290554,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNTLN,hsa-mir-410,0.730220738,5.47E-10,9.50E-08,-0.794644671,0.003474285,0.083761521,targetprofiler-NO,targetscan-Yes,miRanda-NO
CD99L2,hsa-mir-155,0.731547714,4.91E-10,8.60E-08,-0.774915105,0.005091165,0.095222409,targetprofiler-NO,targetscan-Yes,miRanda-NO
CERK,hsa-mir-382,0.731883134,4.78E-10,8.39E-08,-0.788408467,0.003936667,0.087343345,targetprofiler-NO,targetscan-Yes,miRanda-NO
CNTLN,hsa-mir-136,0.732617762,4.50E-10,7.94E-08,-0.8503949,0.000909827,0.053657503,targetprofiler-NO,targetscan-Yes,miRanda-NO
ZNF516,hsa-mir-136,0.733951337,4.03E-10,7.18E-08,-0.824731132,0.001783974,0.067232076,targetprofiler-NO,targetscan-Yes,miRanda-NO
DTNA,hsa-mir-136,0.735181145,3.64E-10,6.54E-08,-0.776817931,0.00491491,0.094098724,targetprofiler-Yes,targetscan-Yes,miRanda-NO
WDR17,hsa-mir-93,0.750751912,9.57E-11,1.90E-08,-0.793151084,0.003581151,0.084612545,targetprofiler-NO,targetscan-Yes,miRanda-NO
ARHGEF10,hsa-mir-410,0.75170605,8.79E-11,1.76E-08,-0.792730541,0.003611676,0.084864378,targetprofiler-Yes,targetscan-NO,miRanda-NO
ARHGEF10,hsa-mir-495,0.752724756,8.02E-11,1.62E-08,-0.767668496,0.005805274,0.099527855,targetprofiler-NO,targetscan-Yes,miRanda-NO
PCGF5,hsa-mir-345,0.753930132,7.19E-11,1.46E-08,-0.845684683,0.001038572,0.056087336,targetprofiler-NO,targetscan-Yes,miRanda-NO
SPTB,hsa-mir-323,0.756390076,5.75E-11,1.19E-08,-0.774309768,0.005148199,0.095580859,targetprofiler-NO,targetscan-Yes,miRanda-NO
C10orf137,hsa-mir-381,0.756790723,5.55E-11,1.15E-08,-0.772577151,0.005314048,0.096594387,targetprofiler-NO,targetscan-NO,miRanda-Yes
WDR60,hsa-mir-410,0.761138433,3.71E-11,7.92E-09,-0.82224443,0.001893507,0.068532922,targetprofiler-NO,targetscan-NO,miRanda-Yes
PLCB4,hsa-mir-382,0.765516725,2.45E-11,5.38E-09,-0.924562427,4.67E-05,0.016914196,targetprofiler-NO,targetscan-Yes,miRanda-Yes
REV3L,hsa-mir-345,0.776966886,7.96E-12,1.89E-09,-0.799535189,0.003140858,0.081041302,targetprofiler-Yes,targetscan-NO,miRanda-NO
RIC3,hsa-mir-299,0.789128178,2.23E-12,5.74E-10,-0.819339627,0.002027732,0.070111476,targetprofiler-NO,targetscan-Yes,miRanda-NO
